frame,ratio,time,head_x,head_y,head_z,handslot_l_x,handslot_l_y,handslot_l_z,handslot_r_x,handslot_r_y,handslot_r_z
0,0.00000,0.00000,0.21282,1.17066,-0.13446,-0.09147,1.40226,0.33275,-0.07624,1.44675,0.23087
1,0.06696,0.25000,0.11733,1.17350,0.26905,-0.11699,0.57838,0.53582,-0.10849,0.60269,0.58654
2,0.13393,0.50000,0.11581,1.13602,0.35735,-0.12134,0.57862,0.53295,-0.09887,0.60157,0.61225
3,0.20089,0.75000,0.11557,1.13713,0.35519,-0.12081,0.57751,0.53310,-0.09916,0.59967,0.60795
4,0.26786,1.00000,0.11528,1.14733,0.33394,-0.11931,0.57456,0.53389,-0.10037,0.59548,0.59738
5,0.33482,1.25000,0.11814,1.17580,0.26227,-0.11770,0.58926,0.53639,-0.10775,0.61162,0.58506
6,0.40179,1.50000,0.17297,1.20344,-0.00333,-0.18581,1.14023,0.44390,-0.14471,1.17346,0.42103
7,0.46875,1.75000,0.21106,1.17307,-0.12716,-0.10652,1.38966,0.33497,-0.09622,1.43729,0.24020
